菌名,菌种,来源（鸡、鸭、猪、牛、环境等）,样品（拭子、病料等）,二代测序数据,氨苄西林,头孢他啶,头孢噻呋,庆大霉素,大观霉素,四环素,氟苯尼考,复方新诺明,恩诺沙星,氧氟沙星,美罗培南,乙酰甲喹,安普霉素,黏菌素,奥格门丁,磺胺异噁唑
demo_001,沙门菌,肉鸡,盲肠,无,512.00,1.00,0.5,>512,32.00,128.00,>256,>32/608,>32,>64,<0.03,8.00,16,0.50,8/16,>512
demo_002,沙门菌,肉鸡,盲肠,无,512.00,1.00,1,0.5,16,64,4,>32/608,0.5,4,<0.03,8.00,4,1,0.5/0.25,512
demo_003,沙门菌,肉鸡,盲肠,无,512.00,1.00,1,0.5,16,32,>256,0.12/2.4,1,2,<=0.03,4.00,8,0.5,256/128,>512
demo_004,沙门菌,肉鸡,盲肠,无,512.00,1.00,1,0.5,16,32,>256,0.12/2.4,1,2,<=0.03,8.00,8,2,16/8,>512
demo_005,沙门菌,肉鸡,盲肠,无,512.00,1.00,1,0.5,16,4,4,0.12/2.4,0.5,1,<=0.03,8.00,8,4,8/4,>512
demo_006,沙门菌,肉鸡,盲肠,无,512.00,1.00,1,<=0.25,8,2,4,0.25/4.8,0.25,1,<=0.03,4,4,4,8/4,>512
demo_007,沙门菌,肉鸡,盲肠,无,512.00,0.50,0.5,0.5,16,128,4,0.25/4.8,0.5,1,<0.03,8,8,4,16/8,>512
demo_008,沙门菌,肉鸡,盲肠,无,512.00,0.25,0.5,0.5,16,2,2,<0.06/1.2,0.5,2,<0.03,4,8,1,1/0.5,16
demo_009,沙门菌,肉鸡,盲肠,无,512.00,<0.12,0.5,16,>128,64,>256,>32/608,2,16,<0.03,128,>64,0.5,16/8,>512
demo_010,沙门菌,肉鸡,盲肠,无,512.00,16.00,32,0.50,32.00,4.00,2.00,<0.06/1.2,0.50,1.00,<0.03,8,16,4.00,1/0.5,16.00
demo_011,沙门菌,肉鸡,盲肠,无,512.00,0.50,1,<=0.25,16,2,4,0.12/2.4,0.25,0.5,<=0.03,8,4,4,0.5/0.25,16
