Name,group,Value,Pinyin,value
澳门,0,0,Aomen,0
贵州,0,0,Guizhou,0
海南,0,0,Hainan,0
湖北,0,0,Hubei,0
台湾,0,0,Taiwan,0
香港,0,0,Xianggang,0
西藏,0,0,Tibet,0
云南,0,0,Yunnan,0
福建,0~10,1,Fujian,10
湖南,0~10,1,Hunan,10
陕西,0~10,1,Shaanxi,10
山西,0~10,1,Shanxi,10
天津,0~10,1,Tianjin,10
甘肃,0~10,2,Gansu,10
广西,0~10,2,Guangxi,10
河北,0~10,2,Hebei,10
宁夏,0~10,2,Ningxia,10
重庆,0~10,3,Chongqing,10
内蒙古,0~10,6,InnerMongolia,10
浙江,0~10,6,Zhejiang,10
新疆,11~50,13,Xinjiang,50
吉林,11~50,14,Jilin,50
安徽,11~50,18,Anhui,50
黑龙江,11~50,22,Heilongjiang,50
河南,11~50,23,Henan,50
江西,11~50,27,Jiangxi,50
北京,11~50,30,Beijing,50
辽宁,11~50,40,Liaoning,50
江苏,51~100,69,Jiangsu,100
青海,51~100,69,Qinghai,100
四川,51~100,85,Sichuan,100
上海,51~100,93,Shanghai,100
广东,51~100,98,Guangdong,100
山东,>100,257,Shandong,250
南海诸岛,,,None,
