NAME,lon,lat
黑龙江,1623937.794072157,5866667.088652429
新疆,-1609428.646539054,5113455.214147996
山西,621816.0456843574,4559113.822883466
宁夏,99683.49937862501,4501151.426578439
西藏,-1532343.028851836,4038556.8670369904
山东,1142136.558477457,4495013.850263869
河南,780158.7181122622,4174676.251663706
江苏,1325927.1133187811,4156135.5195172857
安徽,1142714.027155044,3994883.1604022607
湖北,688817.5458661303,3846592.85302367
浙江,1458283.6113850186,3753226.280100583
江西,1155224.9126169912,3492624.9169515385
湖南,804352.3001780584,3448289.374558386
云南,-264397.80988696625,3147148.995795168
贵州,423838.8918222724,3337393.3954639737
福建,1460984.0441047421,3359173.778942176
广西,654020.6206867467,3033598.0325804534
广东,1101400.6235124571,3017658.5773616354
海南,777263.4524859079,2545645.1316146334
吉林,1625826.6568198826,5409036.615950432
辽宁,1407783.3898000114,5093604.5877959
天津,1024469.1183139228,4800072.7350341305
青海,-792836.3027535965,4381695.623161683
甘肃,-322065.8717821103,4564786.94720048
陕西,341036.70047288795,4279102.638374193
内蒙古,625619.3837227152,5266222.919659976
重庆,273824.009026542,3716571.9754845495
河北,917719.3956547241,4806767.782569931
上海,1543993.27950005,3997976.8653477826
北京,934732.2359996777,4881658.825342818
台湾,1823147.887888297,3171791.666277848
香港,1186565.5278741047,2924469.0163416658
澳门,1134740.060749625,2893194.2989351437
四川,-212006.22826893604,3773471.3000166886
国界线,,
小地图框格,,
