id,sample,group,subgroup
c36,aminoglycoside,B,B
c5,aminoglycoside,B,B
d2,aminoglycoside,B,B
fjs163,aminoglycoside,B,B
fjs183,aminoglycoside,B,B
gds100,aminoglycoside,B,B
gds107,aminoglycoside,B,B
gds116,aminoglycoside,B,B
gds171,aminoglycoside,B,B
gds223,aminoglycoside,B,B
gds332,aminoglycoside,B,B
gds411,aminoglycoside,B,B
gds524,aminoglycoside,B,B
gds79,aminoglycoside,B,B
gx19s24,aminoglycoside,B,B
gxs122,aminoglycoside,B,B
gxs128,aminoglycoside,B,B
gxs230,aminoglycoside,B,B
gxs403,aminoglycoside,B,NA
gxs417,aminoglycoside,B,NA
gxs81,aminoglycoside,B,NA
has34,aminoglycoside,B,NA
has57,aminoglycoside,B,NA
has63,aminoglycoside,B,NA
hn19s199,aminoglycoside,B,NA
hn19s60,aminoglycoside,B,NA
hns150,aminoglycoside,B,NA
jls85,aminoglycoside,B,NA
scs224,aminoglycoside,B,NA
yns63,aminoglycoside,B,NA
yns95,aminoglycoside,B,NA
c36,beta-lactam,B,NA
c5,beta-lactam,B,NA
d2,beta-lactam,B,NA
fjs163,beta-lactam,B,NA
fjs183,beta-lactam,B,NA
gds100,beta-lactam,B,NA
gds107,beta-lactam,B,NA
gds116,beta-lactam,B,NA
gds171,beta-lactam,B,NA
gds223,beta-lactam,B,NA
gds332,beta-lactam,B,B
gds411,beta-lactam,B,B
gds524,beta-lactam,B,NA
gds79,beta-lactam,B,NA
gx19s24,beta-lactam,B,NA
gxs122,beta-lactam,B,NA
gxs128,beta-lactam,B,NA
gxs230,beta-lactam,B,B
gxs403,beta-lactam,B,NA
gxs417,beta-lactam,B,B
gxs81,beta-lactam,B,NA
has34,beta-lactam,B,B
has57,beta-lactam,B,NA
has63,beta-lactam,B,B
hn19s199,beta-lactam,B,B
hn19s60,beta-lactam,B,NA
hns150,beta-lactam,B,NA
jls85,beta-lactam,B,NA
scs224,beta-lactam,B,B
yns63,beta-lactam,B,B
yns95,beta-lactam,B,B
c36,bleomycin,B,B
c5,bleomycin,B,B
d2,bleomycin,B,B
fjs163,bleomycin,B,NA
fjs183,bleomycin,B,B
gds100,bleomycin,B,NA
gds107,bleomycin,B,NA
gds116,bleomycin,B,NA
gds171,bleomycin,B,B
gds223,bleomycin,B,NA
gds332,bleomycin,B,B
gds411,bleomycin,B,B
gds524,bleomycin,B,NA
gds79,bleomycin,B,NA
gx19s24,bleomycin,B,NA
gxs122,bleomycin,B,NA
gxs128,bleomycin,B,NA
gxs230,bleomycin,B,NA
gxs403,bleomycin,B,NA
gxs417,bleomycin,B,NA
gxs81,bleomycin,B,NA
has34,bleomycin,B,B
has57,bleomycin,B,NA
has63,bleomycin,B,B
hn19s199,bleomycin,B,NA
hn19s60,bleomycin,B,NA
hns150,bleomycin,B,NA
jls85,bleomycin,B,NA
scs224,bleomycin,B,B
yns63,bleomycin,B,NA
yns95,bleomycin,B,B
c36,chloramphenicol,B,B
c5,chloramphenicol,B,B
d2,chloramphenicol,B,B
fjs163,chloramphenicol,B,NA
fjs183,chloramphenicol,B,B
gds100,chloramphenicol,B,NA
gds107,chloramphenicol,B,NA
gds116,chloramphenicol,B,NA
gds171,chloramphenicol,B,NA
gds223,chloramphenicol,B,B
gds332,chloramphenicol,B,B
gds411,chloramphenicol,B,B
gds524,chloramphenicol,B,B
gds79,chloramphenicol,B,NA
gx19s24,chloramphenicol,B,NA
gxs122,chloramphenicol,B,NA
gxs128,chloramphenicol,B,NA
gxs230,chloramphenicol,B,B
gxs403,chloramphenicol,B,NA
gxs417,chloramphenicol,B,B
gxs81,chloramphenicol,B,NA
has34,chloramphenicol,B,B
has57,chloramphenicol,B,NA
has63,chloramphenicol,B,B
hn19s199,chloramphenicol,B,NA
hn19s60,chloramphenicol,B,NA
hns150,chloramphenicol,B,NA
jls85,chloramphenicol,B,NA
scs224,chloramphenicol,B,B
yns63,chloramphenicol,B,B
yns95,chloramphenicol,B,B
c36,chloramphenicol,B,B
c5,chloramphenicol,B,B
d2,chloramphenicol,B,B
fjs163,chloramphenicol,B,NA
fjs183,chloramphenicol,B,B
gds100,chloramphenicol,B,NA
gds107,chloramphenicol,B,NA
gds116,chloramphenicol,B,NA
gds171,chloramphenicol,B,NA
gds223,chloramphenicol,B,B
gds332,chloramphenicol,B,B
gds411,chloramphenicol,B,B
gds524,chloramphenicol,B,B
gds79,chloramphenicol,B,NA
gx19s24,chloramphenicol,B,NA
gxs122,chloramphenicol,B,NA
gxs128,chloramphenicol,B,NA
gxs230,chloramphenicol,B,B
gxs403,chloramphenicol,B,NA
gxs417,chloramphenicol,B,B
gxs81,chloramphenicol,B,NA
has34,chloramphenicol,B,B
has57,chloramphenicol,B,NA
has63,chloramphenicol,B,B
hn19s199,chloramphenicol,B,NA
hn19s60,chloramphenicol,B,NA
hns150,chloramphenicol,B,NA
jls85,chloramphenicol,B,NA
scs224,chloramphenicol,B,B
yns63,chloramphenicol,B,B
yns95,chloramphenicol,B,B
c36,colistin,B,B
c5,colistin,B,B
d2,colistin,B,B
fjs163,colistin,B,B
fjs183,colistin,B,B
gds100,colistin,B,NA
gds107,colistin,B,B
gds116,colistin,B,NA
gds171,colistin,B,B
gds223,colistin,B,B
gds332,colistin,B,B
gds411,colistin,B,B
gds524,colistin,B,B
gds79,colistin,B,B
gx19s24,colistin,B,B
gxs122,colistin,B,B
gxs128,colistin,B,B
gxs230,colistin,B,B
gxs403,colistin,B,NA
gxs417,colistin,B,B
gxs81,colistin,B,NA
has34,colistin,B,B
has57,colistin,B,B
has63,colistin,B,B
hn19s199,colistin,B,B
hn19s60,colistin,B,B
hns150,colistin,B,NA
jls85,colistin,B,B
scs224,colistin,B,B
yns63,colistin,B,B
yns95,colistin,B,B
c36,macrolide-lincosamide-streptogramin,B,B
c5,macrolide-lincosamide-streptogramin,B,NA
d2,macrolide-lincosamide-streptogramin,B,NA
fjs163,macrolide-lincosamide-streptogramin,B,NA
fjs183,macrolide-lincosamide-streptogramin,B,NA
gds100,macrolide-lincosamide-streptogramin,B,NA
gds107,macrolide-lincosamide-streptogramin,B,NA
gds116,macrolide-lincosamide-streptogramin,B,NA
gds171,macrolide-lincosamide-streptogramin,B,NA
gds223,macrolide-lincosamide-streptogramin,B,NA
gds332,macrolide-lincosamide-streptogramin,B,B
gds411,macrolide-lincosamide-streptogramin,B,NA
gds524,macrolide-lincosamide-streptogramin,B,NA
gds79,macrolide-lincosamide-streptogramin,B,NA
gx19s24,macrolide-lincosamide-streptogramin,B,NA
gxs122,macrolide-lincosamide-streptogramin,B,NA
gxs128,macrolide-lincosamide-streptogramin,B,NA
gxs230,macrolide-lincosamide-streptogramin,B,NA
gxs403,macrolide-lincosamide-streptogramin,B,NA
gxs417,macrolide-lincosamide-streptogramin,B,NA
gxs81,macrolide-lincosamide-streptogramin,B,NA
has34,macrolide-lincosamide-streptogramin,B,NA
has57,macrolide-lincosamide-streptogramin,B,NA
has63,macrolide-lincosamide-streptogramin,B,NA
hn19s199,macrolide-lincosamide-streptogramin,B,NA
hn19s60,macrolide-lincosamide-streptogramin,B,NA
hns150,macrolide-lincosamide-streptogramin,B,NA
jls85,macrolide-lincosamide-streptogramin,B,NA
scs224,macrolide-lincosamide-streptogramin,B,NA
yns63,macrolide-lincosamide-streptogramin,B,NA
yns95,macrolide-lincosamide-streptogramin,B,B
c36,quinolone,B,NA
c5,quinolone,B,NA
d2,quinolone,B,NA
fjs163,quinolone,B,B
fjs183,quinolone,B,NA
gds100,quinolone,B,NA
gds107,quinolone,B,NA
gds116,quinolone,B,NA
gds171,quinolone,B,NA
gds223,quinolone,B,NA
gds332,quinolone,B,NA
gds411,quinolone,B,NA
gds524,quinolone,B,B
gds79,quinolone,B,NA
gx19s24,quinolone,B,NA
gxs122,quinolone,B,NA
gxs128,quinolone,B,NA
gxs230,quinolone,B,B
gxs403,quinolone,B,NA
gxs417,quinolone,B,B
gxs81,quinolone,B,NA
has34,quinolone,B,B
has57,quinolone,B,NA
has63,quinolone,B,B
hn19s199,quinolone,B,NA
hn19s60,quinolone,B,NA
hns150,quinolone,B,NA
jls85,quinolone,B,NA
scs224,quinolone,B,NA
yns63,quinolone,B,NA
yns95,quinolone,B,NA
c36,quinolone,B,NA
c5,quinolone,B,NA
d2,quinolone,B,NA
fjs163,quinolone,B,B
fjs183,quinolone,B,NA
gds100,quinolone,B,NA
gds107,quinolone,B,NA
gds116,quinolone,B,NA
gds171,quinolone,B,NA
gds223,quinolone,B,NA
gds332,quinolone,B,NA
gds411,quinolone,B,NA
gds524,quinolone,B,B
gds79,quinolone,B,NA
gx19s24,quinolone,B,NA
gxs122,quinolone,B,NA
gxs128,quinolone,B,NA
gxs230,quinolone,B,B
gxs403,quinolone,B,NA
gxs417,quinolone,B,B
gxs81,quinolone,B,NA
has34,quinolone,B,B
has57,quinolone,B,NA
has63,quinolone,B,B
hn19s199,quinolone,B,NA
hn19s60,quinolone,B,NA
hns150,quinolone,B,NA
jls85,quinolone,B,NA
scs224,quinolone,B,NA
yns63,quinolone,B,NA
yns95,quinolone,B,NA
c36,quinolone,B,NA
c5,quinolone,B,NA
d2,quinolone,B,NA
fjs163,quinolone,B,B
fjs183,quinolone,B,NA
gds100,quinolone,B,NA
gds107,quinolone,B,NA
gds116,quinolone,B,NA
gds171,quinolone,B,NA
gds223,quinolone,B,NA
gds332,quinolone,B,NA
gds411,quinolone,B,NA
gds524,quinolone,B,B
gds79,quinolone,B,NA
gx19s24,quinolone,B,NA
gxs122,quinolone,B,NA
gxs128,quinolone,B,NA
gxs230,quinolone,B,B
gxs403,quinolone,B,NA
gxs417,quinolone,B,B
gxs81,quinolone,B,NA
has34,quinolone,B,B
has57,quinolone,B,NA
has63,quinolone,B,B
hn19s199,quinolone,B,NA
hn19s60,quinolone,B,NA
hns150,quinolone,B,NA
jls85,quinolone,B,NA
scs224,quinolone,B,NA
yns63,quinolone,B,NA
yns95,quinolone,B,NA
c36,rifamycin,B,NA
c5,rifamycin,B,NA
d2,rifamycin,B,B
fjs163,rifamycin,B,NA
fjs183,rifamycin,B,NA
gds100,rifamycin,B,NA
gds107,rifamycin,B,NA
gds116,rifamycin,B,NA
gds171,rifamycin,B,NA
gds223,rifamycin,B,NA
gds332,rifamycin,B,NA
gds411,rifamycin,B,NA
gds524,rifamycin,B,NA
gds79,rifamycin,B,NA
gx19s24,rifamycin,B,NA
gxs122,rifamycin,B,NA
gxs128,rifamycin,B,NA
gxs230,rifamycin,B,NA
gxs403,rifamycin,B,NA
gxs417,rifamycin,B,NA
gxs81,rifamycin,B,NA
has34,rifamycin,B,B
has57,rifamycin,B,NA
has63,rifamycin,B,B
hn19s199,rifamycin,B,NA
hn19s60,rifamycin,B,NA
hns150,rifamycin,B,NA
jls85,rifamycin,B,NA
scs224,rifamycin,B,NA
yns63,rifamycin,B,NA
yns95,rifamycin,B,NA
c36,rifamycin,B,NA
c5,rifamycin,B,NA
d2,rifamycin,B,B
fjs163,rifamycin,B,NA
fjs183,rifamycin,B,NA
gds100,rifamycin,B,NA
gds107,rifamycin,B,NA
gds116,rifamycin,B,NA
gds171,rifamycin,B,NA
gds223,rifamycin,B,NA
gds332,rifamycin,B,NA
gds411,rifamycin,B,NA
gds524,rifamycin,B,NA
gds79,rifamycin,B,NA
gx19s24,rifamycin,B,NA
gxs122,rifamycin,B,NA
gxs128,rifamycin,B,NA
gxs230,rifamycin,B,NA
gxs403,rifamycin,B,NA
gxs417,rifamycin,B,NA
gxs81,rifamycin,B,NA
has34,rifamycin,B,B
has57,rifamycin,B,NA
has63,rifamycin,B,B
hn19s199,rifamycin,B,NA
hn19s60,rifamycin,B,NA
hns150,rifamycin,B,NA
jls85,rifamycin,B,NA
scs224,rifamycin,B,NA
yns63,rifamycin,B,NA
yns95,rifamycin,B,NA
c36,rifamycin,B,NA
c5,rifamycin,B,NA
d2,rifamycin,B,B
fjs163,rifamycin,B,NA
fjs183,rifamycin,B,NA
gds100,rifamycin,B,NA
gds107,rifamycin,B,NA
gds116,rifamycin,B,NA
gds171,rifamycin,B,NA
gds223,rifamycin,B,NA
gds332,rifamycin,B,NA
gds411,rifamycin,B,NA
gds524,rifamycin,B,NA
gds79,rifamycin,B,NA
gx19s24,rifamycin,B,NA
gxs122,rifamycin,B,NA
gxs128,rifamycin,B,NA
gxs230,rifamycin,B,NA
gxs403,rifamycin,B,NA
gxs417,rifamycin,B,NA
gxs81,rifamycin,B,NA
has34,rifamycin,B,B
has57,rifamycin,B,NA
has63,rifamycin,B,B
hn19s199,rifamycin,B,NA
hn19s60,rifamycin,B,NA
hns150,rifamycin,B,NA
jls85,rifamycin,B,NA
scs224,rifamycin,B,NA
yns63,rifamycin,B,NA
yns95,rifamycin,B,NA
c36,rifamycin,B,NA
c5,rifamycin,B,NA
d2,rifamycin,B,B
fjs163,rifamycin,B,NA
fjs183,rifamycin,B,NA
gds100,rifamycin,B,NA
gds107,rifamycin,B,NA
gds116,rifamycin,B,NA
gds171,rifamycin,B,NA
gds223,rifamycin,B,NA
gds332,rifamycin,B,NA
gds411,rifamycin,B,NA
gds524,rifamycin,B,NA
gds79,rifamycin,B,NA
gx19s24,rifamycin,B,NA
gxs122,rifamycin,B,NA
gxs128,rifamycin,B,NA
gxs230,rifamycin,B,NA
gxs403,rifamycin,B,NA
gxs417,rifamycin,B,NA
gxs81,rifamycin,B,NA
has34,rifamycin,B,B
has57,rifamycin,B,NA
has63,rifamycin,B,B
hn19s199,rifamycin,B,NA
hn19s60,rifamycin,B,NA
hns150,rifamycin,B,NA
jls85,rifamycin,B,NA
scs224,rifamycin,B,NA
yns63,rifamycin,B,NA
yns95,rifamycin,B,NA
c36,sulfonamide,B,B
c5,sulfonamide,B,B
d2,sulfonamide,B,B
fjs163,sulfonamide,B,NA
fjs183,sulfonamide,B,C
gds100,sulfonamide,B,NA
gds107,sulfonamide,B,NA
gds116,sulfonamide,B,NA
gds171,sulfonamide,B,B
gds223,sulfonamide,B,B
gds332,sulfonamide,B,B
gds411,sulfonamide,B,B
gds524,sulfonamide,B,B
gds79,sulfonamide,B,NA
gx19s24,sulfonamide,B,B
gxs122,sulfonamide,B,NA
gxs128,sulfonamide,B,NA
gxs230,sulfonamide,B,B
gxs403,sulfonamide,B,NA
gxs417,sulfonamide,B,B
gxs81,sulfonamide,B,NA
has34,sulfonamide,B,B
has57,sulfonamide,B,NA
has63,sulfonamide,B,B
hn19s199,sulfonamide,B,NA
hn19s60,sulfonamide,B,NA
hns150,sulfonamide,B,NA
jls85,sulfonamide,B,NA
scs224,sulfonamide,B,B
yns63,sulfonamide,B,B
yns95,sulfonamide,B,B
c36,sulfonamide,B,B
c5,sulfonamide,B,B
d2,sulfonamide,B,B
fjs163,sulfonamide,B,NA
fjs183,sulfonamide,B,C
gds100,sulfonamide,B,NA
gds107,sulfonamide,B,NA
gds116,sulfonamide,B,NA
gds171,sulfonamide,B,B
gds223,sulfonamide,B,B
gds332,sulfonamide,B,B
gds411,sulfonamide,B,B
gds524,sulfonamide,B,B
gds79,sulfonamide,B,NA
gx19s24,sulfonamide,B,B
gxs122,sulfonamide,B,NA
gxs128,sulfonamide,B,NA
gxs230,sulfonamide,B,B
gxs403,sulfonamide,B,NA
gxs417,sulfonamide,B,B
gxs81,sulfonamide,B,NA
has34,sulfonamide,B,B
has57,sulfonamide,B,NA
has63,sulfonamide,B,B
hn19s199,sulfonamide,B,NA
hn19s60,sulfonamide,B,NA
hns150,sulfonamide,B,NA
jls85,sulfonamide,B,NA
scs224,sulfonamide,B,B
