Serotype,number
1,6
1,2
1,5
1,2
1,2
1,2
1,2
1,4
1,2
1,2
1,4
1,3
1,2
1,2
1,2
1,2
1,0
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,1
2,2
2,2
2,2
2,7
2,1
2,7
2,7
2,5
2,3
2,3
2,0
2,2
2,3
2,3
2,3
2,4
2,4
2,5
2,3
2,2
2,2
2,2
2,3
2,2
2,1
2,2
2,2
2,2
2,1
2,2
2,4
2,5
2,2
2,3
2,3
2,2
2,3
2,2
2,2
2,2
2,2
2,0
2,2
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,1
2,1
2,2
2,7
2,2
2,2
2,2
2,2
2,6
2,1
2,3
2,3
2,2
2,5
2,2
2,7
2,1
2,3
2,5
2,2
2,4
2,2
2,1
2,2
2,2
2,4
2,2
2,2
2,7
2,2
2,2
2,2
2,2
2,2
2,5
2,6
2,2
2,2
2,7
2,7
2,7
2,4
2,4
2,2
2,5
2,0
2,2
2,2
2,2
2,2
2,3
2,2
2,2
2,2
2,1
2,2
2,1
2,2
2,3
2,2
2,0
2,1
2,2
2,2
2,0
2,2
2,2
2,2
2,2
2,0
2,0
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,1
2,5
2,2
2,3
2,2
2,2
2,2
2,3
2,0
2,2
2,2
2,0
2,2
2,0
2,1
2,2
2,2
2,2
2,0
2,1
2,5
2,1
2,2
2,2
2,1
2,2
2,2
2,2
2,4
2,1
2,2
2,2
2,2
2,1
2,2
2,2
2,2
2,1
2,0
2,2
2,2
2,2
2,2
2,2
2,5
2,2
2,5
2,2
2,2
2,4
2,2
2,2
2,2
2,7
2,2
2,2
2,1
2,2
2,4
2,2
2,3
2,2
2,4
2,2
2,2
2,2
2,1
2,0
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,3
2,2
2,2
2,1
2,5
2,2
2,2
2,2
2,1
2,2
2,2
2,2
2,2
2,1
2,2
2,3
2,2
2,2
2,2
2,0
2,1
2,2
2,2
2,0
2,2
2,2
2,1
2,1
2,2
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,2
2,4
2,2
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,0
2,2
2,2
2,1
2,1
2,2
2,2
2,0
2,2
2,2
2,3
2,5
2,2
2,2
2,2
2,7
2,2
2,1
2,2
2,2
2,5
2,2
2,0
2,2
2,2
2,2
2,2
2,2
2,1
2,2
2,4
2,2
2,2
2,2
2,2
2,2
2,2
2,4
2,1
2,7
2,3
2,5
2,4
2,2
2,0
2,2
2,2
2,4
2,2
2,3
2,2
2,1
2,2
2,2
2,1
2,2
2,2
2,7
2,2
2,2
2,2
2,1
2,2
2,5
2,2
2,1
2,3
2,2
2,2
2,1
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,3
2,2
2,1
2,2
2,2
2,1
2,1
2,2
2,2
2,2
2,2
2,4
2,6
2,2
2,7
2,7
2,7
2,1
2,2
2,2
2,2
2,3
2,1
2,0
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,4
2,2
2,2
2,2
2,2
2,1
2,2
2,1
2,3
2,3
2,3
2,3
2,6
2,3
2,2
2,2
2,5
2,1
2,7
2,2
2,7
2,2
2,4
2,7
2,3
2,5
2,7
2,7
2,7
2,7
2,7
2,7
2,7
2,7
2,2
2,0
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,0
2,2
2,0
2,1
2,0
2,0
2,2
2,2
2,0
2,2
2,2
2,2
2,0
2,0
2,0
2,0
2,2
2,2
2,2
2,2
2,0
2,1
2,2
2,0
2,2
2,2
2,0
2,2
2,2
2,2
2,4
2,2
2,2
2,2
2,2
2,0
2,1
2,2
2,3
2,2
2,4
2,2
2,2
2,2
2,2
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,4
2,4
2,2
2,5
2,3
2,2
2,1
2,0
2,1
2,5
2,2
2,4
2,2
2,2
2,2
2,0
2,2
2,2
2,1
2,2
2,1
2,2
2,2
2,1
2,2
2,1
2,2
2,2
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,1
2,2
2,2
2,2
2,5
2,2
2,1
2,1
2,1
2,2
2,2
2,3
2,5
2,2
2,1
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,1
2,2
2,2
2,0
2,0
2,2
2,2
2,5
2,2
2,2
2,3
2,2
2,2
2,2
2,2
2,1
2,2
2,2
2,1
2,2
2,2
2,2
2,2
2,1
2,2
2,2
2,5
2,2
2,2
2,2
2,2
2,2
2,0
2,2
2,3
2,1
2,1
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,3
2,1
2,2
2,2
2,4
2,1
2,2
2,2
2,2
2,4
2,2
2,2
2,5
2,1
2,0
2,2
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,0
2,0
2,0
2,2
2,3
2,3
2,7
2,7
2,2
2,2
2,2
2,2
2,7
2,7
2,7
2,7
2,7
2,7
2,7
2,7
2,7
2,7
2,2
2,2
2,7
2,2
2,7
2,7
2,2
2,2
2,7
2,7
2,2
2,2
2,4
2,7
2,7
2,1
2,3
2,7
2,2
2,2
2,2
2,2
2,7
2,2
2,3
2,3
2,3
2,3
2,3
2,2
2,2
2,2
2,3
2,2
2,7
2,3
2,3
2,5
2,2
2,4
2,3
2,7
2,7
2,7
2,7
2,7
2,7
2,3
2,7
2,2
2,2
2,3
2,2
2,2
2,3
2,2
2,5
2,4
2,2
2,7
2,7
2,7
2,1
2,7
2,2
2,4
2,3
2,7
2,7
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,9
3,6
3,2
3,2
3,2
3,3
3,3
3,3
3,2
3,2
3,3
3,3
3,2
3,0
3,1
3,0
3,1
3,2
3,0
3,1
3,1
3,1
3,2
3,2
3,2
3,2
3,0
3,1
3,2
3,2
